time_s,joint_angle_pelvis_tilt_rad,joint_angle_hip_flexion_r_rad,joint_angle_knee_angle_r_rad,joint_angle_ankle_angle_r_rad,grf_total_vertical_N,knee_angle_r_moment_Nm
0,0.18845521265776943,-0.51765529365851004,0.26670105482590173,-0.018602832918101025,0,0
0.009947643979057591,0.19258595446335852,-0.51783326209888292,0.29848019822691102,-0.018602832918101025,0,23.038787243644023
0.019895287958115182,0.20084880447190703,-0.51740269898232483,0.34553524707422717,-0.018602832918101025,0,-91.673771180503294
0.029842931937172773,0.21524690045203451,-0.51778326021850563,0.39167716921280205,-0.018602832918101025,0,-20.788120473425959
0.039790575916230364,0.2336760433034793,-0.51980148933950654,0.44078505617084018,-0.018602832918101025,0,79.765619867694994
0.049738219895287955,0.24687484473537655,-0.51433416971079771,0.50431341018386511,-0.018602832918101025,0,5.5186764446786007
0.059685863874345546,0.25168131047160719,-0.49244842175590098,0.58009986817433101,-0.018602832918101025,0,-45.219464335167466
0.069633507853403137,0.25433141436056328,-0.46034304303576018,0.6596226660066673,-0.018602832918101025,0,-7.3639657712301734
0.079581151832460728,0.25814824979967593,-0.4264855985058244,0.73934205789878349,-0.018602832918101025,0,-3.5735074584719229
0.089528795811518319,0.2617098442037642,-0.39116968777642541,0.8167470954860212,-0.018602832918101025,0,-25.165423274612699
0.09947643979057591,0.26468632096062983,-0.35479767818398178,0.88806953312216141,-0.018602832918101025,0,-24.856205147297235
0.1094240837696335,0.26845663764793531,-0.32008659091812242,0.95062010531721775,-0.018602832918101025,0,-29.293881407112206
0.11937172774869109,0.27389354120312004,-0.28758059815879095,1.0033285742531537,-0.018602832918101025,0,-35.244000731840075
0.12931937172774868,0.2792248901140465,-0.25416845398882559,1.0470528669328014,-0.018602832918101025,0,-32.979910783905176
0.13926701570680627,0.28052009887330726,-0.21524606428477736,1.0840956540925368,-0.018602832918101025,0,-22.774672511109443
0.14921465968586387,0.27720812331631728,-0.17153239556740726,1.114458033531968,-0.018602832918101025,0,-12.407111346506515
0.15916230366492146,0.27467461884619548,-0.13166505536258444,1.1341730552108689,-0.018602832918101025,0,-13.784275758951672
0.16910994764397905,0.27611336597771985,-0.10039104184677076,1.1415955172264418,-0.018602832918101025,0,-18.575760371625627
0.17905759162303664,0.27768446854177525,-0.071872941066226159,1.1403176028129742,-0.018602832918101025,0,-19.869273391792472
0.18900523560209423,0.27654050186033313,-0.041950274720268591,1.1323448693673186,-0.018602832918101025,0,-14.242588516209988
0.19895287958115182,0.27466870860508352,-0.013842565326563069,1.1159172837740563,-0.018602832917422849,0,-11.373184874872486
0.20890052356020941,0.27376255541046796,0.0099139176382117937,1.0902391398064202,-0.018602832917422849,0,-7.721124684882092
0.218848167539267,0.27399067495280438,0.029388452579160843,1.0561174512513649,-0.018602832917422849,0,-5.8577850581895881
0.22879581151832459,0.27538691529596587,0.044943265083903852,1.0144579071485502,-0.018602832917422849,0,-7.3773912202854746
0.23874345549738218,0.27556538538564762,0.060599546264404017,0.96795718190510682,-0.018602832917422849,0,-13.660848543844025
0.24869109947643978,0.27040939109073736,0.082910046246944091,0.92043604273312452,-0.018602832917422849,0,-10.559235901842781
0.25863874345549737,0.26101890583088511,0.11005463507137651,0.87100759166214126,-0.018602832917422849,0,2.9973276677526677
0.26858638743455499,0.25369404724154226,0.13186391130764169,0.81419838977414405,-0.018602832917422849,0,10.542571005725639
0.27853403141361255,0.25138161277982485,0.14357846475587754,0.74762850724249696,-0.018602832917422849,0,9.3838426939508146
0.28848167539267011,0.25160075818463029,0.1492464226631266,0.67382851518194797,-0.018602832917422849,0,5.4488199982058338
0.29842931937172773,0.25110203354171384,0.15417592876168493,0.59599520266019179,-0.018602832917422849,0,8.7288724036817911
0.30837696335078535,0.249423874978839,0.15933267993791247,0.51513543303788134,-0.018602832917422849,0,19.588769649468063
0.31832460732984291,0.24830975534120298,0.16201057881637212,0.43060655854223961,-0.018602832917422849,0,25.746194247017218
0.32827225130890048,0.24749098683688436,0.16244737265996645,0.34429268258523182,-0.018602832917422849,0,27.509297771035733
0.33821989528795809,0.24600606275938453,0.16337701640159499,0.26135258047376375,-0.018602832917422849,0,40.197994623753438
0.34816753926701571,0.24700958593025812,0.16009157121476306,0.18086580755636616,-0.018602832917422849,0,60.071501872077036
0.35811518324607328,0.25081185022090935,0.14869792555440231,0.098564249840514331,-0.018602832917422849,0,41.343752062762107
0.36806282722513084,0.24957804154930729,0.14509211656969589,0.030941885412380035,-0.018602832917422849,0,31.912654265549641
0.37801047120418846,0.24049903237335851,0.16430059265290478,0.0020947211472896118,-0.018602832917422849,0,33.079716402416629
0.38795811518324608,0.23030187135782618,0.19382152935036362,0.002627879803455818,-0.018602832917422849,0,45.007432964557182
0.39790575916230364,0.22168899074560589,0.21668355490224589,0.004642299677020313,-0.01860283291656693,0,22.38422665748741
0.4078534031413612,0.21212032643427525,0.23259149468859822,0.0015589535672583367,-0.01860283291656693,0,21.388204923737291
0.41780104712041882,0.20322590566127274,0.24839429191817131,0.011175543478195927,-0.01860283291656693,0,45.194952999765654
0.42774869109947644,0.19809544060818124,0.26919045031413752,0.050747691832097777,-0.01860283291656693,0,69.122853939138267
0.437696335078534,0.19499241950154381,0.29374340562374529,0.11394076079375924,-0.01860283291656693,0,60.802384069166457
0.44764397905759157,0.19126977483529767,0.31602147975726141,0.18211107087361103,-0.01860283291656693,40.808353090126261,70.799883706869679
0.45759162303664919,0.18714677740307822,0.3320290549996488,0.2459795156692626,-0.01860283291656693,110.80658464145185,58.503002408545882
0.46753926701570681,0.18348325511168176,0.34118332589409095,0.30215430726176928,-0.01860283291656693,239.33704989545947,6.6496552932603628
0.47748691099476437,0.18096430403210295,0.34439409309039382,0.34493540059975536,-0.01860283291656693,396.09274283255399,-43.484725967376924
0.48743455497382193,0.18049671661473421,0.34249526602183422,0.37053430324184661,-0.01860283291656693,554.82966629886016,-29.79168914029534
0.49738219895287955,0.18241776784453248,0.33578524643360785,0.38471221856049947,-0.01860283291656693,702.96158013365391,17.024473355047
0.50732984293193717,0.18673047873818063,0.32495608754193345,0.40014794102599616,-0.01860283291656693,838.71809503919872,13.264863249963817
0.51727748691099473,0.19346065960630004,0.31111359750054962,0.42308127911264931,-0.01860283291656693,962.25266389123976,-45.197599097781136
0.5272251308900523,0.20163561235660343,0.29506268395960694,0.44810601782159476,-0.01860283291656693,1071.601220221399,-91.852542046729809
0.53717277486910997,0.21147013094141492,0.27521819735256203,0.46854275204709633,-0.01860283291656693,1167.4943608188382,-103.33870827668707
0.54712041884816753,0.22504390893844733,0.24844958835326017,0.48307228241654881,-0.01860283291656693,1253.0912818569916,-117.34743952710858
0.5570680628272251,0.2389669857351216,0.21781953699935885,0.4903496094268438,-0.01860283291656693,1329.4348719563532,-140.58052743349364
0.56701570680628266,0.24561850281136072,0.19193717515040845,0.48954594178681593,-0.01860283291656693,1394.3776866702481,-146.40087223869639
0.57696335078534022,0.24015975388377839,0.17916584188668583,0.48614048468196885,-0.01860283291656693,1444.5899053994208,-139.36435851574737
0.5869109947643979,0.2288489424462441,0.17358192902833539,0.48337596909105568,-0.01860283291656693,1477.4873194975528,-119.45256205428484
0.59685863874345546,0.23487474957973636,0.14396367576870692,0.47360606745531353,-0.018602832917208649,1491.4683189964469,-108.31951004478444
0.60680628272251302,0.26137257277248332,0.085315329488332883,0.45331844199514804,-0.018602832917208649,1485.352517736477,-123.84134987124082
0.6167539267015707,0.27788779581305767,0.038728932661428225,0.43196949939669504,-0.018602832917208649,1459.0544754380985,-115.94391530854961
0.62670157068062826,0.27501019732563264,0.01738776119958562,0.4148733617174723,-0.018602832917208649,1414.7633807511106,-98.595877074354789
0.63664921465968582,0.26854202814548184,9.176562888209977e-05,0.39824662499888852,-0.018602832917208649,1356.733702039437,-81.692123028197813
0.64659685863874339,0.26276349692137368,-0.019078359977453257,0.38012392462965078,-0.018602832917208649,1290.0114274595799,-68.914803656944102
0.65654450261780095,0.25532254803665899,-0.036837101745315085,0.36118430743152108,-0.018602832917208649,1219.3211813135686,-55.407661373580012
